Feature,GNUR 1,GNUR 2,GNUR 3,GNUR 4,GNUR 5,CTRL 1,CTRL 2,CTRL 3,CTRL 5,CTRL 6
PE 18:2/22:4,1426816.72,1324270.81,919223.32,1843851.24,962392.16,1229511.04,1997457.87,1298858.81,1058160.23,1206952.11
PE 18:2/22:5,2891205.12,1891116.65,1913124.13,3805798.65,2063148.1,1096133.7,1302251.62,1062201.63,968410.09,883642.01
PE 18:2/22:6,9278963.71,6810473.16,7593976.21,14017559.9,5441197.53,5244433.18,5108023.38,3879491.75,4218670.17,3715025.72
PEO 16:0/16:0,1439650.14,2012889.13,568513.89,1439765.02,9482207.38,478998.81,629001.05,977886.65,585920.1,524449.72
PEO 16:0/16:1,5636572.21,125211.51,941495.86,170839.84,139532.06,106312.83,73132.63,73579.07,87658.31,60959.84
PEO 16:0/18:0,959383,782687.13,308855.04,743373.64,3517565.87,169007.57,254656.65,748522.04,178279.84,135551.2
PEO 16:0/18:1,44101986.56,1555513.39,9347905.16,2558605.58,2565964.89,2546712.28,1310085.75,1617044.32,1790715.28,1703260.57
PEO 16:0/18:2,139564571.7,3387810.2,32144263.6,5834318.76,3770342.84,1555598.2,830627.95,1367173.7,1278033.13,1890768.86
PEO 16:0/18:3,1554775.81,111255.45,383617.69,191748.57,95832.73,36140.27,19177.59,52189.33,60396.73,19193.69
PEO 16:0/20:1,552794.4,468043.39,358305.3,1455687.49,700765.04,646399.41,221366.63,1045185.93,443272.3,678586.07
PEO 16:0/20:2,1903354.66,201425.75,336312.09,143466.76,113550.06,305332.25,102838.83,134162.79,259829.89,298334.98
PEO 16:0/20:3,12638655.47,442587.99,2406718.09,487735.94,297144.36,922166.77,355349.52,326090.24,716121.37,1056265.61
PEO 16:0/20:4,28300255.38,3570403.67,6651519.36,2778525.28,2028935.13,5701041.52,3585323.14,4404712.6,3455779.38,3511842.71
PEO 16:0/20:5,537797.99,252743.94,158159.63,135417.66,205373.07,244264.61,342920.7,39164.04,129118.23,284887.03
PEO 16:0/22:4,3526329.35,3062107.8,1645267.95,2167285.56,1521570.89,5589029.24,8439608.92,5269947.78,5120881.96,5123109.21
PEO 16:0/22:5,1970177.41,1671137.64,1117133.94,1377773.27,823181.99,1521351.27,1587938.03,1252464.13,1287454.95,1157515.1
PEO 16:0/22:6,5875532.57,1353151.3,1530796.08,1738714.76,756595.82,713965.94,1152535.79,1116766.37,492463.13,483798.1
PEO 18:0/16:0,14327750.23,20435182.81,10539506.57,14653046.87,21812363.29,8862110.1,13582382.93,17405598.36,10792037.13,8841009.27
PEO 18:0/16:1,1008463.01,1030226,880705.23,756497.12,660020.08,551800.02,473247.36,596648.86,526374.75,650638.57
PEO 18:0/18:0,802097.5,1177057.24,416497.36,814241.99,3989775.05,413800.02,753243.61,1137753.44,302257.67,391349.14
PEO 18:0/18:1,5004899.53,5526715.34,4501633.84,5306911.11,4700789.22,5110813.58,3899223.59,4668096.41,4514446.79,4035850.2
PEO 18:0/18:2,41635620.51,11504759.68,11192074.07,26343683.87,16111081.98,34764289.41,5257020.18,9916696.19,24958763.56,18754748.52
PEO 18:0/18:3,759079.02,601531.66,373219.39,1193902.93,658455.03,520917.78,287375.05,683182.85,410232.23,477173.81
PEO 18:0/20:1,1328908.53,1017784.81,699827.22,2632692.96,2051039.23,1451502.8,633972.81,3684538.93,655476.83,863490.17
PEO 18:0/20:2,1493723.53,732018.55,631496.65,370819.68,637269.7,784977.26,231074.91,702806.9,821673.04,820056.43
PEO 18:0/20:3,1163801.35,1035701.8,820452.17,776539.97,521563.67,7148972.97,699570.88,549728.66,4087744.7,3486160.64
PEO 18:0/20:4,4838358.11,4803701.43,3191425.46,3815467.22,2465980.93,19713208.97,4828186.05,3783650.35,8580616.93,10088687.82
PEO 18:0/20:5,877354.65,579985.32,436126.78,852967.26,343314.36,991781.2,456056.86,217679.2,519726,723952.9
PEO 18:0/22:4,1707187.9,639884.53,392203.94,504910.17,312366.9,763893.98,987547.23,1822596.35,762819.8,743115.4
PEO 18:0/22:5,4482699.09,3334430.48,2093811.41,4269978.57,1945156.44,4219265.46,4880994.11,6318580.28,3629525.58,3222661.3
PEO 18:0/22:6,14265332.46,9683369.79,7437645.18,19616965.32,6111749.81,17238131.79,16930958.05,24197117.3,13555651.71,10046265.4
PEP 14:0/18:0,334583.17,545851.47,286754.75,329254.15,2099715.11,320772.55,524069.13,451632.54,102820.08,124161.8
PEP 14:0/18:1,416268.34,1118375.59,210288.88,593553.33,5110987.26,470548.87,316276.36,219149.11,268259.93,346371.02
